Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
ares-compression-tee,Ares Compression Tee,"<p>Engineered for the warrior who demands more. The Ares Compression Tee features a second-skin fit with four-way stretch fabric that moves with every rep, sprint, and set. The Spartan helmet crest on the chest is not a logo — it is a covenant. On the back, Japanese Kanji reads 神に守られている: Protected by the Gods.</p><ul><li>Four-way stretch nylon-elastane blend</li><li>Graduated muscle-compression zones</li><li>Silver-ion antimicrobial finish</li><li>Flatlock zero-chafe seams</li></ul>",Ares Pantheon,Compression Tee,"Compression, Obsidian",TRUE,Size,S,ARES-COMPRESSION-TEE-S,shopify,10,deny,manual,24.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-compression-front.jpg,1,Ares Compression Tee — image 1,FALSE,active
ares-compression-tee,,,,,,,Size,M,ARES-COMPRESSION-TEE-M,shopify,10,deny,manual,24.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-compression-back.jpg,2,Ares Compression Tee — image 2,,
ares-compression-tee,,,,,,,Size,L,ARES-COMPRESSION-TEE-L,shopify,10,deny,manual,24.99,TRUE,TRUE,,,,,
ares-compression-tee,,,,,,,Size,XL,ARES-COMPRESSION-TEE-XL,shopify,10,deny,manual,24.99,TRUE,TRUE,,,,,
ares-compression-tee,,,,,,,Size,XXL,ARES-COMPRESSION-TEE-XXL,shopify,10,deny,manual,24.99,TRUE,TRUE,,,,,
protected-by-god,Protected by God,"<p>Protected by God is built for those who train with purpose and move with faith. The Spartan warrior crest sits over the heart, and Kanji runs down the spine — a reminder that every rep is covered. Engineered from premium performance fabric with 4-way stretch that moves with you in every direction.</p><ul><li>Premium performance fabric — moisture wicking & breathable</li><li>4-way stretch for unrestricted movement</li><li>Lightweight feel, quick-dry finish</li><li>Spartan crest on chest + Kanji spine print on back</li></ul>",Ares Pantheon,Performance Tee,"Performance, Obsidian",TRUE,Size,S,PROTECTED-BY-GOD-S,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-protected-front.png,1,Protected by God — image 1,FALSE,active
protected-by-god,,,,,,,Size,M,PROTECTED-BY-GOD-M,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-protected-back.jpeg,2,Protected by God — image 2,,
protected-by-god,,,,,,,Size,L,PROTECTED-BY-GOD-L,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-protected-detail.png,3,Protected by God — image 3,,
protected-by-god,,,,,,,Size,XL,PROTECTED-BY-GOD-XL,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-protected-action.png,4,Protected by God — image 4,,
protected-by-god,,,,,,,Size,XXL,PROTECTED-BY-GOD-XXL,shopify,10,deny,manual,34.99,TRUE,TRUE,,,,,
ares-pantheon-oversized-tee,Ares Pantheon Oversized Tee,"<p>The Ares Pantheon Oversized Tee is a testament to legacy. The front carries the minimalist Ares wordmark — understated, deliberate. The back bears the god of war himself, rendered in gold: armored, sovereign, and unyielding. This is not a shirt. It is a declaration. We are the embodiment of war — Discipline. Strength. Honor. We earn legacy.</p><ul><li>400 GSM heavyweight cotton construction</li><li>Boxy oversized silhouette</li><li>Gold-foil Ares Pantheon back graphic</li><li>Pre-washed for softness & shape retention</li></ul>",Ares Pantheon,Oversized Tee,"Oversized, Obsidian",TRUE,Size,S,ARES-PANTHEON-OVERSIZED-TEE-S,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-ares-pantheon-front1.png,1,Ares Pantheon Oversized Tee — image 1,FALSE,active
ares-pantheon-oversized-tee,,,,,,,Size,M,ARES-PANTHEON-OVERSIZED-TEE-M,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-ares-pantheon-front2.png,2,Ares Pantheon Oversized Tee — image 2,,
ares-pantheon-oversized-tee,,,,,,,Size,L,ARES-PANTHEON-OVERSIZED-TEE-L,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-ares-pantheon-back.png,3,Ares Pantheon Oversized Tee — image 3,,
ares-pantheon-oversized-tee,,,,,,,Size,XL,ARES-PANTHEON-OVERSIZED-TEE-XL,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-ares-pantheon-side.png,4,Ares Pantheon Oversized Tee — image 4,,
ares-pantheon-oversized-tee,,,,,,,Size,XXL,ARES-PANTHEON-OVERSIZED-TEE-XXL,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-ares-pantheon-lifestyle.jpg,5,Ares Pantheon Oversized Tee — image 5,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,https://ares-pantheon.com/assets/images/product-ares-pantheon-chest.png,6,Ares Pantheon Oversized Tee — image 6,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,https://ares-pantheon.com/assets/images/product-ares-pantheon-detail.png,7,Ares Pantheon Oversized Tee — image 7,,
man-of-god,Man of God,"<p>Train with faith, recover with discipline. The Man of God tee carries two truths — the quiet conviction of the front, and the raw identity of the back: GYMRAT. Because the most disciplined people in history rose before dawn, did the work, and answered to something greater than results. This is for them.</p><ul><li>Relaxed oversized drop-shoulder fit</li><li>Premium performance fabric — moisture wicking & breathable</li><li>Man of God chest wordmark</li><li>GYMRAT arch print on reverse</li></ul>",Ares Pantheon,Oversized Tee,"Oversized, Obsidian",TRUE,Size,S,MAN-OF-GOD-S,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-man-of-god.png,1,Man of God — image 1,FALSE,active
man-of-god,,,,,,,Size,M,MAN-OF-GOD-M,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-gymrat.png,2,Man of God — image 2,,
man-of-god,,,,,,,Size,L,MAN-OF-GOD-L,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-man-of-god-flatlay.png,3,Man of God — image 3,,
man-of-god,,,,,,,Size,XL,MAN-OF-GOD-XL,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-man-of-god-lifestyle.png,4,Man of God — image 4,,
man-of-god,,,,,,,Size,XXL,MAN-OF-GOD-XXL,shopify,10,deny,manual,34.99,TRUE,TRUE,https://ares-pantheon.com/assets/images/product-man-of-god-chest.png,5,Man of God — image 5,,
man-of-god,,,,,,,,,,,,,,,,,https://ares-pantheon.com/assets/images/product-man-of-god-gymrat.jpg,6,Man of God — image 6,,
man-of-god,,,,,,,,,,,,,,,,,https://ares-pantheon.com/assets/images/product-man-of-god-detail.png,7,Man of God — image 7,,
