Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status,Metafield: custom.details[list.single_line_text_field]
ares-compression-tee,Ares Compression Tee,"<p>Engineered for the warrior who demands more. The Ares Compression Tee features a second-skin fit with four-way stretch fabric that moves with every rep, sprint, and set. The Spartan helmet crest on the chest is not a logo &mdash; it is a covenant. On the back, Japanese Kanji reads 神に守られている: Protected by the Gods.</p><ul><li>Four-way stretch nylon-elastane blend</li><li>Graduated muscle-compression zones</li><li>Silver-ion antimicrobial finish</li><li>Flatlock zero-chafe seams</li></ul>",Ares Pantheon,,Apparel,Compression,TRUE,Size,S,Color,Obsidian,,,ARES-COMPRESSION-TEE-S-OBS,200,shopify,50,deny,manual,24.99,,TRUE,TRUE,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-compression-front.jpg,1,Ares Compression Tee — Image 1,FALSE,,,,lb,active,"[""Four-way stretch nylon-elastane blend"", ""Graduated muscle-compression zones"", ""Silver-ion antimicrobial finish"", ""Flatlock zero-chafe seams""]"
ares-compression-tee,,,,,,,,Size,M,Color,Obsidian,,,ARES-COMPRESSION-TEE-M-OBS,200,shopify,50,deny,manual,24.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-compression-tee,,,,,,,,Size,L,Color,Obsidian,,,ARES-COMPRESSION-TEE-L-OBS,200,shopify,50,deny,manual,24.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-compression-tee,,,,,,,,Size,XL,Color,Obsidian,,,ARES-COMPRESSION-TEE-XL-OBS,200,shopify,50,deny,manual,24.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-compression-tee,,,,,,,,Size,XXL,Color,Obsidian,,,ARES-COMPRESSION-TEE-XXL-OBS,200,shopify,50,deny,manual,24.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-compression-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-compression-back.jpg,2,Ares Compression Tee — Image 2,,,,,,,
protected-by-god,Protected by God,"<p>Protected by God is built for those who train with purpose and move with faith. The Spartan warrior crest sits over the heart, and Kanji runs down the spine &mdash; a reminder that every rep is covered. Engineered from premium performance fabric with 4-way stretch that moves with you in every direction.</p><ul><li>Premium performance fabric &mdash; moisture wicking &amp; breathable</li><li>4-way stretch for unrestricted movement</li><li>Lightweight feel, quick-dry finish</li><li>Spartan crest on chest + Kanji spine print on back</li></ul>",Ares Pantheon,,Apparel,Performance,TRUE,Size,S,Color,Obsidian,,,PROTECTED-BY-GOD-S-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-protected-front.png,1,Protected by God — Image 1,FALSE,,,,lb,active,"[""Premium performance fabric — moisture wicking & breathable"", ""4-way stretch for unrestricted movement"", ""Lightweight feel, quick-dry finish"", ""Spartan crest on chest + Kanji spine print on back""]"
protected-by-god,,,,,,,,Size,M,Color,Obsidian,,,PROTECTED-BY-GOD-M-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
protected-by-god,,,,,,,,Size,L,Color,Obsidian,,,PROTECTED-BY-GOD-L-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
protected-by-god,,,,,,,,Size,XL,Color,Obsidian,,,PROTECTED-BY-GOD-XL-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
protected-by-god,,,,,,,,Size,XXL,Color,Obsidian,,,PROTECTED-BY-GOD-XXL-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
protected-by-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-protected-back.jpeg,2,Protected by God — Image 2,,,,,,,
protected-by-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-protected-detail.png,3,Protected by God — Image 3,,,,,,,
protected-by-god,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-protected-action.png,4,Protected by God — Image 4,,,,,,,
ares-pantheon-oversized-tee,Ares Pantheon Oversized Tee,"<p>The Ares Pantheon Oversized Tee is a testament to legacy. The front carries the minimalist Ares wordmark &mdash; understated, deliberate. The back bears the god of war himself, rendered in gold: armored, sovereign, and unyielding. This is not a shirt. It is a declaration. We are the embodiment of war &mdash; Discipline. Strength. Honor. We earn legacy.</p><ul><li>400 GSM heavyweight cotton construction</li><li>Boxy oversized silhouette</li><li>Gold-foil Ares Pantheon back graphic</li><li>Pre-washed for softness &amp; shape retention</li></ul>",Ares Pantheon,,Apparel,Oversized,TRUE,Size,S,Color,Obsidian,,,ARES-PANTHEON-OVERSIZED-TEE-S-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-front1.png,1,Ares Pantheon Oversized Tee — Image 1,FALSE,,,,lb,active,"[""400 GSM heavyweight cotton construction"", ""Boxy oversized silhouette"", ""Gold-foil Ares Pantheon back graphic"", ""Pre-washed for softness & shape retention""]"
ares-pantheon-oversized-tee,,,,,,,,Size,M,Color,Obsidian,,,ARES-PANTHEON-OVERSIZED-TEE-M-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-pantheon-oversized-tee,,,,,,,,Size,L,Color,Obsidian,,,ARES-PANTHEON-OVERSIZED-TEE-L-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-pantheon-oversized-tee,,,,,,,,Size,XL,Color,Obsidian,,,ARES-PANTHEON-OVERSIZED-TEE-XL-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-pantheon-oversized-tee,,,,,,,,Size,XXL,Color,Obsidian,,,ARES-PANTHEON-OVERSIZED-TEE-XXL-OBS,200,shopify,50,deny,manual,34.99,,TRUE,TRUE,,,,,,,,,lb,,
ares-pantheon-oversized-tee,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/aungsephyoe-sketch/Website/claude/sleepy-bohr-ljmr4v/assets/images/product-ares-pantheon-front2.png,2,Ares Pantheon Oversized Tee — Image 2,,,,,,,
